IdCarrera,Carrera
1,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS
2,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS
3,LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN
4,LICENCIATURA EN DERECHO
5,LICENCIATURA EN DISEÑO GRÁFICO
6,LICENCIATURA EN GASTRONOMÍA
7,LICENCIATURA EN PSICOLOGÍA
8,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES
9,LICENCIATURA EN COMERCIO INTERNACIONAL
10,LICENCIATURA EN CONTADURIA PUBLICA
11,LICENCIATURA EN ENSEÑANZA DE LA LENGUA INGLESA
12,LICENCIATURA EN MERCADOTECNIA
13,LICENCIATURA EN INGENIERIA INDUSTRIAL Y DE SISTEMAS
14,LICENCIATURA EN INGENIERIA MECATRONICA
